"","Year","March","September"
"1","1979",6.308909278,2.722020221
"2","1980",6.19307863,2.96140356
"3","1981",6.034776745,2.756769415
"4","1982",6.19307863,2.818545761
"5","1983",6.212383738,2.853294955
"6","1984",6.015471637,2.629355703
"7","1985",6.135163307,2.586884465
"8","1986",6.14288535,2.861016998
"9","1987",6.108136155,2.810823718
"10","1988",6.162190458,2.845572912
"11","1989",5.953695292,2.706576135
"12","1990",6.127441263,2.370667256
"13","1991",5.953695292,2.498080969
"14","1992",5.976861421,2.884183128
"15","1993",6.104275134,2.471053818
"16","1994",6.003888572,2.756769415
"17","1995",5.891918946,2.347501127
"18","1996",5.837864644,2.926654365
"19","1997",5.9730004,2.583023444
"20","1998",6.02319368,2.52510812
"21","1999",5.945973249,2.362945213
"22","2000",5.87647486,2.413138494
"23","2001",5.992305508,2.59846753
"24","2002",5.926668141,2.250975587
"25","2003",5.976861421,2.362945213
"26","2004",5.787671363,2.308890911
"27","2005",5.671840716,2.123561875
"28","2006",5.567593133,2.262558652
"29","2007",5.613925392,1.648656219
"30","2008",5.861030774,1.810819126
"31","2009",5.783810342,2.030897356
"32","2010",5.845586687,1.880317514
"33","2011",5.617786413,1.760625845
"34","2012",5.868752817,1.378384708
"35","2013",5.80311545,2.011592248
"36","2014",5.698867867,2.01545327
"37","2015",5.548288025,1.783791975
"38","2016",5.55987109,1.74904278
"39","2017",5.517399852,1.861012406
"40","2018",5.521260874,1.849429342
"41","2019",5.625508457,1.683405413
"42","2020",5.70658991,1.513520463
"43","2021",5.6525356,1.899623
