"","Day","sea_level_rise_average"
"1",1880-04-15,-183.31406
"2",1880-07-15,-183.2474
"3",1880-10-15,-174.1474
"4",1881-01-15,-159.68073
"5",1881-04-15,-172.41406
"6",1881-07-15,-174.01406
"7",1881-10-15,-186.0474
"8",1882-01-15,-189.48073
"9",1882-04-15,-184.21406
"10",1882-07-15,-190.08073
"11",1882-10-15,-202.5474
"12",1883-01-15,-204.38073
"13",1883-04-15,-192.48073
"14",1883-07-15,-185.1474
"15",1883-10-15,-179.81406
"16",1884-01-15,-166.61406
"17",1884-04-15,-158.98073
"18",1884-07-15,-166.28073
"19",1884-10-15,-174.51406
"20",1885-01-15,-173.3474
"21",1885-04-15,-166.61406
"22",1885-07-15,-167.68073
"23",1885-10-15,-166.58073
"24",1886-01-15,-171.11406
"25",1886-04-15,-164.08073
"26",1886-07-15,-164.21406
"27",1886-10-15,-178.98073
"28",1887-01-15,-184.18073
"29",1887-04-15,-180.78073
"30",1887-07-15,-170.21406
"31",1887-10-15,-171.88073
"32",1888-01-15,-175.88073
"33",1888-04-15,-177.71406
"34",1888-07-15,-172.61406
"35",1888-10-15,-170.41406
"36",1889-01-15,-171.08073
"37",1889-04-15,-167.98073
"38",1889-07-15,-169.71406
"39",1889-10-15,-177.1474
"40",1890-01-15,-176.5474
"41",1890-04-15,-160.71406
"42",1890-07-15,-166.98073
"43",1890-10-15,-175.28073
"44",1891-01-15,-186.48073
"45",1891-04-15,-171.01406
"46",1891-07-15,-167.71406
"47",1891-10-15,-168.21406
"48",1892-01-15,-167.5474
"49",1892-04-15,-163.41406
"50",1892-07-15,-167.58073
"51",1892-10-15,-176.08073
"52",1893-01-15,-170.81406
"53",1893-04-15,-160.8474
"54",1893-07-15,-162.98073
"55",1893-10-15,-164.48073
"56",1894-01-15,-170.08073
"57",1894-04-15,-173.21406
"58",1894-07-15,-176.88073
"59",1894-10-15,-177.01406
"60",1895-01-15,-161.11406
"61",1895-04-15,-166.0474
"62",1895-07-15,-163.1474
"63",1895-10-15,-158.7474
"64",1896-01-15,-171.4474
"65",1896-04-15,-172.88073
"66",1896-07-15,-160.31406
"67",1896-10-15,-169.8474
"68",1897-01-15,-173.38073
"69",1897-04-15,-162.48073
"70",1897-07-15,-152.1474
"71",1897-10-15,-168.9474
"72",1898-01-15,-169.2474
"73",1898-04-15,-147.9474
"74",1898-07-15,-157.11406
"75",1898-10-15,-155.61406
"76",1899-01-15,-150.58073
"77",1899-04-15,-149.88073
"78",1899-07-15,-151.68073
"79",1899-10-15,-140.08073
"80",1900-01-15,-150.31406
"81",1900-04-15,-151.78073
"82",1900-07-15,-152.0474
"83",1900-10-15,-155.38073
"84",1901-01-15,-155.4474
"85",1901-04-15,-156.58073
"86",1901-07-15,-156.5474
"87",1901-10-15,-147.48073
"88",1902-01-15,-145.58073
"89",1902-04-15,-150.78073
"90",1902-07-15,-153.71406
"91",1902-10-15,-145.41406
"92",1903-01-15,-144.81406
"93",1903-04-15,-134.61406
"94",1903-07-15,-138.3474
"95",1903-10-15,-145.71406
"96",1904-01-15,-144.78073
"97",1904-04-15,-147.7474
"98",1904-07-15,-152.2474
"99",1904-10-15,-155.08073
"100",1905-01-15,-160.5474
"101",1905-04-15,-160.81406
"102",1905-07-15,-154.41406
"103",1905-10-15,-150.81406
"104",1906-01-15,-154.9474
"105",1906-04-15,-150.41406
"106",1906-07-15,-146.8474
"107",1906-10-15,-148.98073
"108",1907-01-15,-151.1474
"109",1907-04-15,-147.28073
"110",1907-07-15,-147.38073
"111",1907-10-15,-157.0474
"112",1908-01-15,-154.48073
"113",1908-04-15,-153.9474
"114",1908-07-15,-149.61406
"115",1908-10-15,-156.48073
"116",1909-01-15,-152.31406
"117",1909-04-15,-146.31406
"118",1909-07-15,-152.78073
"119",1909-10-15,-148.6474
"120",1910-01-15,-150.8474
"121",1910-04-15,-150.9474
"122",1910-07-15,-146.31406
"123",1910-10-15,-148.71406
"124",1911-01-15,-149.1474
"125",1911-04-15,-144.08073
"126",1911-07-15,-141.38073
"127",1911-10-15,-133.58073
"128",1912-01-15,-142.9474
"129",1912-04-15,-149.68073
"130",1912-07-15,-142.6474
"131",1912-10-15,-141.08073
"132",1913-01-15,-142.0474
"133",1913-04-15,-150.21406
"134",1913-07-15,-140.31406
"135",1913-10-15,-136.11406
"136",1914-01-15,-137.5474
"137",1914-04-15,-139.6474
"138",1914-07-15,-143.61406
"139",1914-10-15,-132.18073
"140",1915-01-15,-108.7474
"141",1915-04-15,-124.21406
"142",1915-07-15,-135.9474
"143",1915-10-15,-136.3474
"144",1916-01-15,-129.58073
"145",1916-04-15,-125.58073
"146",1916-07-15,-134.78073
"147",1916-10-15,-132.61406
"148",1917-01-15,-127.78073
"149",1917-04-15,-137.38073
"150",1917-07-15,-134.48073
"151",1917-10-15,-135.68073
"152",1918-01-15,-134.41406
"153",1918-04-15,-138.5474
"154",1918-07-15,-135.71406
"155",1918-10-15,-134.1474
"156",1919-01-15,-141.0474
"157",1919-04-15,-138.38073
"158",1919-07-15,-128.48073
"159",1919-10-15,-130.78073
"160",1920-01-15,-138.31406
"161",1920-04-15,-134.81406
"162",1920-07-15,-127.18073
"163",1920-10-15,-133.78073
"164",1921-01-15,-131.91406
"165",1921-04-15,-126.81406
"166",1921-07-15,-129.5474
"167",1921-10-15,-136.5474
"168",1922-01-15,-131.9474
"169",1922-04-15,-129.88073
"170",1922-07-15,-133.6474
"171",1922-10-15,-134.7474
"172",1923-01-15,-128.58073
"173",1923-04-15,-126.51406
"174",1923-07-15,-129.5474
"175",1923-10-15,-134.28073
"176",1924-01-15,-138.71406
"177",1924-04-15,-136.38073
"178",1924-07-15,-138.98073
"179",1924-10-15,-139.01406
"180",1925-01-15,-135.61406
"181",1925-04-15,-137.11406
"182",1925-07-15,-138.4474
"183",1925-10-15,-135.8474
"184",1926-01-15,-133.21406
"185",1926-04-15,-135.58073
"186",1926-07-15,-126.28073
"187",1926-10-15,-122.68073
"188",1927-01-15,-133.5474
